Year,Month,Day,Pot_Solar_GW
2024,1,1,21.72
2024,1,2,21.72
2024,1,3,21.72
2024,1,4,21.72
2024,1,5,21.72
2024,1,6,21.72
2024,1,7,21.72
2024,1,8,21.72
2024,1,9,21.72
2024,1,10,21.72
2024,1,11,21.72
2024,1,12,21.72
2024,1,13,21.72
2024,1,14,21.72
2024,1,15,21.72
2024,1,16,21.72
2024,1,17,21.72
2024,1,18,21.72
2024,1,19,21.72
2024,1,20,21.72
2024,1,21,21.72
2024,1,22,21.72
2024,1,23,21.72
2024,1,24,21.72
2024,1,25,21.72
2024,1,26,21.72
2024,1,27,21.72
2024,1,28,21.72
2024,1,29,21.72
2024,1,30,21.72
2024,1,31,21.72
2024,2,1,21.72
2024,2,2,21.72
2024,2,3,21.72
2024,2,4,21.72
2024,2,5,21.72
2024,2,6,21.72
2024,2,7,21.72
2024,2,8,21.72
2024,2,9,21.72
2024,2,10,21.72
2024,2,11,21.72
2024,2,12,21.72
2024,2,13,21.72
2024,2,14,21.72
2024,2,15,21.72
2024,2,16,21.72
2024,2,17,21.72
2024,2,18,21.72
2024,2,19,21.72
2024,2,20,21.72
2024,2,21,21.72
2024,2,22,21.72
2024,2,23,21.72
2024,2,24,21.72
2024,2,25,21.72
2024,2,26,21.72
2024,2,27,21.72
2024,2,28,21.72
2024,2,29,21.72
2024,3,1,21.72
2024,3,2,21.72
2024,3,3,21.72
2024,3,4,21.72
2024,3,5,21.72
2024,3,6,21.72
2024,3,7,21.72
2024,3,8,21.72
2024,3,9,21.72
2024,3,10,21.72
2024,3,11,21.72
2024,3,12,21.72
2024,3,13,21.72
2024,3,14,21.72
2024,3,15,21.72
2024,3,16,21.72
2024,3,17,21.72
2024,3,18,21.72
2024,3,19,21.72
2024,3,20,21.72
2024,3,21,21.72
2024,3,22,21.72
2024,3,23,21.72
2024,3,24,21.72
2024,3,25,21.72
2024,3,26,21.72
2024,3,27,21.72
2024,3,28,21.72
2024,3,29,21.72
2024,3,30,21.72
2024,3,31,21.72
2024,4,1,21.72
2024,4,2,21.72
2024,4,3,21.72
2024,4,4,21.72
2024,4,5,21.72
2024,4,6,21.72
2024,4,7,21.72
2024,4,8,21.72
2024,4,9,21.72
2024,4,10,21.72
2024,4,11,21.72
2024,4,12,21.72
2024,4,13,21.72
2024,4,14,21.72
2024,4,15,21.72
2024,4,16,21.72
2024,4,17,21.72
2024,4,18,21.72
2024,4,19,21.72
2024,4,20,21.72
2024,4,21,21.72
2024,4,22,21.72
2024,4,23,21.72
2024,4,24,21.72
2024,4,25,21.72
2024,4,26,21.72
2024,4,27,21.72
2024,4,28,21.72
2024,4,29,21.72
2024,4,30,21.72
2024,5,1,21.72
2024,5,2,21.72
2024,5,3,21.72
2024,5,4,21.72
2024,5,5,21.72
2024,5,6,21.72
2024,5,7,21.72
2024,5,8,21.72
2024,5,9,21.72
2024,5,10,21.72
2024,5,11,21.72
2024,5,12,21.72
2024,5,13,21.72
2024,5,14,21.72
2024,5,15,21.72
2024,5,16,21.72
2024,5,17,21.72
2024,5,18,21.72
2024,5,19,21.72
2024,5,20,21.72
2024,5,21,21.72
2024,5,22,21.72
2024,5,23,21.72
2024,5,24,21.72
2024,5,25,21.72
2024,5,26,21.72
2024,5,27,21.72
2024,5,28,21.72
2024,5,29,21.72
2024,5,30,21.72
2024,5,31,21.72
2024,6,1,21.72
2024,6,2,21.72
2024,6,3,21.72
2024,6,4,21.72
2024,6,5,21.72
2024,6,6,21.72
2024,6,7,21.72
2024,6,8,21.72
2024,6,9,21.72
2024,6,10,21.72
2024,6,11,21.72
2024,6,12,21.72
2024,6,13,21.72
2024,6,14,21.72
2024,6,15,21.72
2024,6,16,21.72
2024,6,17,21.72
2024,6,18,21.72
2024,6,19,21.72
2024,6,20,21.72
2024,6,21,21.72
2024,6,22,21.72
2024,6,23,21.72
2024,6,24,21.72
2024,6,25,21.72
2024,6,26,21.72
2024,6,27,21.72
2024,6,28,21.72
2024,6,29,21.72
2024,6,30,21.72
2024,7,1,21.72
2024,7,2,21.72
2024,7,3,21.72
2024,7,4,21.72
2024,7,5,21.72
2024,7,6,21.72
2024,7,7,21.72
2024,7,8,21.72
2024,7,9,21.72
2024,7,10,21.72
2024,7,11,21.72
2024,7,12,21.72
2024,7,13,21.72
2024,7,14,21.72
2024,7,15,21.72
2024,7,16,21.72
2024,7,17,21.72
2024,7,18,21.72
2024,7,19,21.72
2024,7,20,21.72
2024,7,21,21.72
2024,7,22,21.72
2024,7,23,21.72
2024,7,24,21.72
2024,7,25,21.72
2024,7,26,21.72
2024,7,27,21.72
2024,7,28,21.72
2024,7,29,21.72
2024,7,30,21.72
2024,7,31,21.72
2024,8,1,21.72
2024,8,2,21.72
2024,8,3,21.72
2024,8,4,21.72
2024,8,5,21.72
2024,8,6,21.72
2024,8,7,21.72
2024,8,8,21.72
2024,8,9,21.72
2024,8,10,21.72
2024,8,11,21.72
2024,8,12,21.72
2024,8,13,21.72
2024,8,14,21.72
2024,8,15,21.72
2024,8,16,21.72
2024,8,17,21.72
2024,8,18,21.72
2024,8,19,21.72
2024,8,20,21.72
2024,8,21,21.72
2024,8,22,21.72
2024,8,23,21.72
2024,8,24,21.72
2024,8,25,21.72
2024,8,26,21.72
2024,8,27,21.72
2024,8,28,21.72
2024,8,29,21.72
2024,8,30,21.72
2024,8,31,21.72
2024,9,1,21.72
2024,9,2,21.72
2024,9,3,21.72
2024,9,4,21.72
2024,9,5,21.72
2024,9,6,21.72
2024,9,7,21.72
2024,9,8,21.72
2024,9,9,21.72
2024,9,10,21.72
2024,9,11,21.72
2024,9,12,21.72
2024,9,13,21.72
2024,9,14,21.72
2024,9,15,21.72
2024,9,16,21.72
2024,9,17,21.72
2024,9,18,21.72
2024,9,19,21.72
2024,9,20,21.72
2024,9,21,21.72
2024,9,22,21.72
2024,9,23,21.72
2024,9,24,21.72
2024,9,25,21.72
2024,9,26,21.72
2024,9,27,21.72
2024,9,28,21.72
2024,9,29,21.72
2024,9,30,21.72
2024,10,1,21.72
2024,10,2,21.72
2024,10,3,21.72
2024,10,4,21.72
2024,10,5,21.72
2024,10,6,21.72
2024,10,7,21.72
2024,10,8,21.72
2024,10,9,21.72
2024,10,10,21.72
2024,10,11,21.72
2024,10,12,21.72
2024,10,13,21.72
2024,10,14,21.72
2024,10,15,21.72
2024,10,16,21.72
2024,10,17,21.72
2024,10,18,21.72
2024,10,19,21.72
2024,10,20,21.72
2024,10,21,21.72
2024,10,22,21.72
2024,10,23,21.72
2024,10,24,21.72
2024,10,25,21.72
2024,10,26,21.72
2024,10,27,21.72
2024,10,28,21.72
2024,10,29,21.72
2024,10,30,21.72
2024,10,31,21.72
2024,11,1,21.72
2024,11,2,21.72
2024,11,3,21.72
2024,11,4,21.72
2024,11,5,21.72
2024,11,6,21.72
2024,11,7,21.72
2024,11,8,21.72
2024,11,9,21.72
2024,11,10,21.72
2024,11,11,21.72
2024,11,12,21.72
2024,11,13,21.72
2024,11,14,21.72
2024,11,15,21.72
2024,11,16,21.72
2024,11,17,21.72
2024,11,18,21.72
2024,11,19,21.72
2024,11,20,21.72
2024,11,21,21.72
2024,11,22,21.72
2024,11,23,21.72
2024,11,24,21.72
2024,11,25,21.72
2024,11,26,21.72
2024,11,27,21.72
2024,11,28,21.72
2024,11,29,21.72
2024,11,30,21.72
2024,12,1,21.72
2024,12,2,21.72
2024,12,3,21.72
2024,12,4,21.72
2024,12,5,21.72
2024,12,6,21.72
2024,12,7,21.72
2024,12,8,21.72
2024,12,9,21.72
2024,12,10,21.72
2024,12,11,21.72
2024,12,12,21.72
2024,12,13,21.72
2024,12,14,21.72
2024,12,15,21.72
2024,12,16,21.72
2024,12,17,21.72
2024,12,18,21.72
2024,12,19,21.72
2024,12,20,21.72
2024,12,21,21.72
2024,12,22,21.72
2024,12,23,21.72
2024,12,24,21.72
2024,12,25,21.72
2024,12,26,21.72
2024,12,27,21.72
2024,12,28,21.72
2024,12,29,21.72
2024,12,30,21.72
2024,12,31,21.72
2025,1,1,25.11
2025,1,2,25.11
2025,1,3,25.11
2025,1,4,25.11
2025,1,5,25.11
2025,1,6,25.11
2025,1,7,25.11
2025,1,8,25.11
2025,1,9,25.11
2025,1,10,25.11
2025,1,11,25.11
2025,1,12,25.11
2025,1,13,25.11
2025,1,14,25.11
2025,1,15,25.11
2025,1,16,25.11
2025,1,17,25.11
2025,1,18,25.11
2025,1,19,25.11
2025,1,20,25.11
2025,1,21,25.11
2025,1,22,25.11
2025,1,23,25.11
2025,1,24,25.11
2025,1,25,25.11
2025,1,26,25.11
2025,1,27,25.11
2025,1,28,25.11
2025,1,29,25.11
2025,1,30,25.11
2025,1,31,25.11
2025,2,1,25.11
2025,2,2,25.11
2025,2,3,25.11
2025,2,4,25.11
2025,2,5,25.11
2025,2,6,25.11
2025,2,7,25.11
2025,2,8,25.11
2025,2,9,25.11
2025,2,10,25.11
2025,2,11,25.11
2025,2,12,25.11
2025,2,13,25.11
2025,2,14,25.11
2025,2,15,25.11
2025,2,16,25.11
2025,2,17,25.11
2025,2,18,25.11
2025,2,19,25.11
2025,2,20,25.11
2025,2,21,25.11
2025,2,22,25.11
2025,2,23,25.11
2025,2,24,25.11
2025,2,25,25.11
2025,2,26,25.11
2025,2,27,25.11
2025,2,28,25.11
2025,3,1,25.11
2025,3,2,25.11
2025,3,3,25.11
2025,3,4,25.11
2025,3,5,25.11
2025,3,6,25.11
2025,3,7,25.11
2025,3,8,25.11
2025,3,9,25.11
2025,3,10,25.11
2025,3,11,25.11
2025,3,12,25.11
2025,3,13,25.11
2025,3,14,25.11
2025,3,15,25.11
2025,3,16,25.11
2025,3,17,25.11
2025,3,18,25.11
2025,3,19,25.11
2025,3,20,25.11
2025,3,21,25.11
2025,3,22,25.11
2025,3,23,25.11
2025,3,24,25.11
2025,3,25,25.11
2025,3,26,25.11
2025,3,27,25.11
2025,3,28,25.11
2025,3,29,25.11
2025,3,30,25.11
2025,3,31,25.11
2025,4,1,25.11
2025,4,2,25.11
2025,4,3,25.11
2025,4,4,25.11
2025,4,5,25.11
2025,4,6,25.11
2025,4,7,25.11
2025,4,8,25.11
2025,4,9,25.11
2025,4,10,25.11
2025,4,11,25.11
2025,4,12,25.11
2025,4,13,25.11
2025,4,14,25.11
2025,4,15,25.11
2025,4,16,25.11
2025,4,17,25.11
2025,4,18,25.11
2025,4,19,25.11
2025,4,20,25.11
2025,4,21,25.11
2025,4,22,25.11
2025,4,23,25.11
2025,4,24,25.11
2025,4,25,25.11
2025,4,26,25.11
2025,4,27,25.11
2025,4,28,25.11
2025,4,29,25.11
2025,4,30,25.11
2025,5,1,25.11
2025,5,2,25.11
2025,5,3,25.11
2025,5,4,25.11
2025,5,5,25.11
2025,5,6,25.11
2025,5,7,25.11
2025,5,8,25.11
2025,5,9,25.11
2025,5,10,25.11
2025,5,11,25.11
2025,5,12,25.11
2025,5,13,25.11
2025,5,14,25.11
2025,5,15,25.11
2025,5,16,25.11
2025,5,17,25.11
2025,5,18,25.11
2025,5,19,25.11
2025,5,20,25.11
2025,5,21,25.11
2025,5,22,25.11
2025,5,23,25.11
2025,5,24,25.11
2025,5,25,25.11
2025,5,26,25.11
2025,5,27,25.11
2025,5,28,25.11
2025,5,29,25.11
2025,5,30,25.11
2025,5,31,25.11
2025,6,1,25.11
2025,6,2,25.11
2025,6,3,25.11
2025,6,4,25.11
2025,6,5,25.11
2025,6,6,25.11
2025,6,7,25.11
2025,6,8,25.11
2025,6,9,25.11
2025,6,10,25.11
2025,6,11,25.11
2025,6,12,25.11
2025,6,13,25.11
2025,6,14,25.11
2025,6,15,25.11
2025,6,16,25.11
2025,6,17,25.11
2025,6,18,25.11
2025,6,19,25.11
2025,6,20,25.11
2025,6,21,25.11
2025,6,22,25.11
2025,6,23,25.11
2025,6,24,25.11
2025,6,25,25.11
2025,6,26,25.11
2025,6,27,25.11
2025,6,28,25.11
2025,6,29,25.11
2025,6,30,25.11
2025,7,1,25.11
2025,7,2,25.11
2025,7,3,25.11
2025,7,4,25.11
2025,7,5,25.11
2025,7,6,25.11
2025,7,7,25.11
2025,7,8,25.11
2025,7,9,25.11
2025,7,10,25.11
2025,7,11,25.11
2025,7,12,25.11
2025,7,13,25.11
2025,7,14,25.11
2025,7,15,25.11
2025,7,16,25.11
2025,7,17,25.11
2025,7,18,25.11
2025,7,19,25.11
2025,7,20,25.11
2025,7,21,25.11
2025,7,22,25.11
2025,7,23,25.11
2025,7,24,25.11
2025,7,25,25.11
2025,7,26,25.11
2025,7,27,25.11
2025,7,28,25.11
2025,7,29,25.11
2025,7,30,25.11
2025,7,31,25.11
2025,8,1,25.11
2025,8,2,25.11
2025,8,3,25.11
2025,8,4,25.11
2025,8,5,25.11
2025,8,6,25.11
2025,8,7,25.11
2025,8,8,25.11
2025,8,9,25.11
2025,8,10,25.11
2025,8,11,25.11
2025,8,12,25.11
2025,8,13,25.11
2025,8,14,25.11
2025,8,15,25.11
2025,8,16,25.11
2025,8,17,25.11
2025,8,18,25.11
2025,8,19,25.11
2025,8,20,25.11
2025,8,21,25.11
2025,8,22,25.11
2025,8,23,25.11
2025,8,24,25.11
2025,8,25,25.11
2025,8,26,25.11
2025,8,27,25.11
2025,8,28,25.11
2025,8,29,25.11
2025,8,30,25.11
2025,8,31,25.11
2025,9,1,25.11
2025,9,2,25.11
2025,9,3,25.11
2025,9,4,25.11
2025,9,5,25.11
2025,9,6,25.11
2025,9,7,25.11
2025,9,8,25.11
2025,9,9,25.11
2025,9,10,25.11
2025,9,11,25.11
2025,9,12,25.11
2025,9,13,25.11
2025,9,14,25.11
2025,9,15,25.11
2025,9,16,25.11
2025,9,17,25.11
2025,9,18,25.11
2025,9,19,25.11
2025,9,20,25.11
2025,9,21,25.11
2025,9,22,25.11
2025,9,23,25.11
2025,9,24,25.11
2025,9,25,25.11
2025,9,26,25.11
2025,9,27,25.11
2025,9,28,25.11
2025,9,29,25.11
2025,9,30,25.11
2025,10,1,25.11
2025,10,2,25.11
2025,10,3,25.11
2025,10,4,25.11
2025,10,5,25.11
2025,10,6,25.11
2025,10,7,25.11
2025,10,8,25.11
2025,10,9,25.11
2025,10,10,25.11
2025,10,11,25.11
2025,10,12,25.11
2025,10,13,25.11
2025,10,14,25.11
2025,10,15,25.11
2025,10,16,25.11
2025,10,17,25.11
2025,10,18,25.11
2025,10,19,25.11
2025,10,20,25.11
2025,10,21,25.11
2025,10,22,25.11
2025,10,23,25.11
2025,10,24,25.11
2025,10,25,25.11
2025,10,26,25.11
2025,10,27,25.11
2025,10,28,25.11
2025,10,29,25.11
2025,10,30,25.11
2025,10,31,25.11
2025,11,1,25.11
2025,11,2,25.11
2025,11,3,25.11
2025,11,4,25.11
2025,11,5,25.11
2025,11,6,25.11
2025,11,7,25.11
2025,11,8,25.11
2025,11,9,25.11
2025,11,10,25.11
2025,11,11,25.11
2025,11,12,25.11
2025,11,13,25.11
2025,11,14,25.11
2025,11,15,25.11
2025,11,16,25.11
2025,11,17,25.11
2025,11,18,25.11
2025,11,19,25.11
2025,11,20,25.11
2025,11,21,25.11
2025,11,22,25.11
2025,11,23,25.11
2025,11,24,25.11
2025,11,25,25.11
2025,11,26,25.11
2025,11,27,25.11
2025,11,28,25.11
2025,11,29,25.11
2025,11,30,25.11
2025,12,1,25.11
2025,12,2,25.11
2025,12,3,25.11
2025,12,4,25.11
2025,12,5,25.11
2025,12,6,25.11
2025,12,7,25.11
2025,12,8,25.11
2025,12,9,25.11
2025,12,10,25.11
2025,12,11,25.11
2025,12,12,25.11
2025,12,13,25.11
2025,12,14,25.11
2025,12,15,25.11
2025,12,16,25.11
2025,12,17,25.11
2025,12,18,25.11
2025,12,19,25.11
2025,12,20,25.11
2025,12,21,25.11
2025,12,22,25.11
2025,12,23,25.11
2025,12,24,25.11
2025,12,25,25.11
2025,12,26,25.11
2025,12,27,25.11
2025,12,28,25.11
2025,12,29,25.11
2025,12,30,25.11
2025,12,31,25.11
2026,1,1,30.77
2026,1,2,30.77
2026,1,3,30.77
2026,1,4,30.77
2026,1,5,30.77
2026,1,6,30.77
2026,1,7,30.77
2026,1,8,30.77
2026,1,9,30.77
2026,1,10,30.77
2026,1,11,30.77
2026,1,12,30.77
2026,1,13,30.77
2026,1,14,30.77
2026,1,15,30.77
2026,1,16,30.77
2026,1,17,30.77
2026,1,18,30.77
2026,1,19,30.77
2026,1,20,30.77
2026,1,21,30.77
2026,1,22,30.77
2026,1,23,30.77
2026,1,24,30.77
2026,1,25,30.77
2026,1,26,30.77
2026,1,27,30.77
2026,1,28,30.77
2026,1,29,30.77
2026,1,30,30.77
2026,1,31,30.77
2026,2,1,30.77
2026,2,2,30.77
2026,2,3,30.77
2026,2,4,30.77
2026,2,5,30.77
2026,2,6,30.77
2026,2,7,30.77
2026,2,8,30.77
2026,2,9,30.77
2026,2,10,30.77
2026,2,11,30.77
2026,2,12,30.77
2026,2,13,30.77
2026,2,14,30.77
2026,2,15,30.77
2026,2,16,30.77
2026,2,17,30.77
2026,2,18,30.77
2026,2,19,30.77
2026,2,20,30.77
2026,2,21,30.77
2026,2,22,30.77
2026,2,23,30.77
2026,2,24,30.77
2026,2,25,30.77
2026,2,26,30.77
2026,2,27,30.77
2026,2,28,30.77
2026,3,1,30.77
2026,3,2,30.77
2026,3,3,30.77
2026,3,4,30.77
2026,3,5,30.77
2026,3,6,30.77
2026,3,7,30.77
2026,3,8,30.77
2026,3,9,30.77
2026,3,10,30.77
2026,3,11,30.77
2026,3,12,30.77
2026,3,13,30.77
2026,3,14,30.77
2026,3,15,30.77
2026,3,16,30.77
2026,3,17,30.77
2026,3,18,30.77
2026,3,19,30.77
2026,3,20,30.77
2026,3,21,30.77
2026,3,22,30.77
2026,3,23,30.77
2026,3,24,30.77
2026,3,25,30.77
2026,3,26,30.77
2026,3,27,30.77
2026,3,28,30.77
2026,3,29,30.77
2026,3,30,30.77
2026,3,31,30.77
2026,4,1,30.77
2026,4,2,30.77
2026,4,3,30.77
2026,4,4,30.77
2026,4,5,30.77
2026,4,6,30.77
2026,4,7,30.77
2026,4,8,30.77
2026,4,9,30.77
2026,4,10,30.77
2026,4,11,30.77
2026,4,12,30.77
2026,4,13,30.77
2026,4,14,30.77
2026,4,15,30.77
2026,4,16,30.77
